origName,decimalLongitude,decimalLatitude,year,database,acceptName
Paspalum dilatatum,-120.744644,37.653919,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.727034,38.741862,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.69167,35.3,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.683136,35.268958,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.683,35.264,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.6728,35.31202,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.662767,38.349392,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.659951,38.287413,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.656,35.3195,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.642017,35.459816,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.63444,38.32667,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.630172,35.105531,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.6229,35.0862,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.5928,37.5547,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.514,34.7584999991159,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.514,34.7585,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.477,37.647564,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.440833,38.150833,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.44083,38.15083,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.43778,37.520058,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.3975,37.183611,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.3975,37.183613,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.08713,36.74207,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-120.066666,36.816666,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.8642,37.6626,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.80123,36.76859,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.800326,34.427612,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.712677489383,34.4369451954378,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.712,34.437,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.706,34.4293,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.547724,35.499242,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.5428,34.40529999912,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.5355,34.40379999912,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.5347,34.40309999912,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.457446,35.481677,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.454,34.396,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.316,34.359,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.31083,34.35278,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.306,34.354,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.302,34.382,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.297,34.41,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.29312,34.279362,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.29056,34.50806,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.29,34.2765,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.280264,34.451508,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.279,34.461,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.278,34.27,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.2775,34.4619,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.249,34.433,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.2425,34.2638,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.215,34.4556,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.2136,34.45569,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.17533,34.1402799991232,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.17533,34.14028,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.1721,34.238,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.1706,34.2397,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.153555,35.267412,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.1023,34.1203,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.10191,34.30517,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.10177,34.13506,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.1007,34.1319,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-119.0631,34.3452399991207,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-118.823096389634,34.1563783890139,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-118.786338,34.245101,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-118.657222,34.605,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-118.625276665928,34.1352623779077,NA,GBIF,Paspalum dilatatum Poir.
Paspalum dilatatum,-118.612744,34.273112,NA,GBIF,Paspalum dilatatum Poir.
