"name","decimalLongitude","decimalLatitude"
"Paspalum urvillei",121.4753,25.21586
"Paspalum urvillei",153.3149,-29.42997
"Paspalum urvillei",121.4605,25.12871
"Paspalum urvillei",150.9125,-33.95656
"Paspalum urvillei",121.5621,25.084
"Paspalum urvillei",121.4555,25.23454
"Paspalum urvillei",152.1204,-32.74841
"Paspalum urvillei",150.1046,-36.16434
"Paspalum urvillei",152.825,-30.54385
"Paspalum urvillei",121.4957,25.09623
"Paspalum urvillei",121.7499,25.08293
"Paspalum urvillei",150.9159,-33.94964
"Paspalum urvillei",174.5498,-36.05743
"Paspalum urvillei",151.5953,-32.98913
"Paspalum urvillei",151.9322,-32.78521
"Paspalum urvillei",151.5741,-32.77337
"Paspalum urvillei",121.5286,24.93594
"Paspalum urvillei",121.138,24.8444
"Paspalum urvillei",151.6593,-32.97443
"Paspalum urvillei",151.6599,-32.97436
"Paspalum urvillei",121.0549,24.76432
"Paspalum urvillei",150.9826,-34.23864
"Paspalum urvillei",151.6941,-32.96935
"Paspalum urvillei",150.613,-33.89561
"Paspalum urvillei",152.7437,-31.64139
"Paspalum urvillei",121.1388,24.86851
"Paspalum urvillei",152.0128,-32.76045
"Paspalum urvillei",151.873,-32.74332
"Paspalum urvillei",150.9607,-33.50723
"Paspalum urvillei",152.0134,-32.76196
"Paspalum urvillei",152.8332,-31.58902
"Paspalum urvillei",121.1243,24.82946
"Paspalum urvillei",-95.61414,29.82724
"Paspalum urvillei",121.1401,24.59264
"Paspalum urvillei",150.4195,-35.29355
"Paspalum urvillei",-97.35532,32.65439
"Paspalum urvillei",121.0568,24.84822
"Paspalum urvillei",121.1693,24.56132
"Paspalum urvillei",121.0944,24.65496
"Paspalum urvillei",151.26,-33.78336
"Paspalum urvillei",150.752,-33.78077
"Paspalum urvillei",151.5186,-32.99277
"Paspalum urvillei",121.1422,24.61481
"Paspalum urvillei",-121.3024,39.50519
"Paspalum urvillei",-97.4539,30.13902
"Paspalum urvillei",121.1148,24.56425
"Paspalum urvillei",121.1244,24.78754
"Paspalum urvillei",121.0305,24.7746
"Paspalum urvillei",-121.3025,39.50528
"Paspalum urvillei",151.2119,-33.70741
"Paspalum urvillei",121.0721,24.73531
"Paspalum urvillei",121.1342,24.68079
"Paspalum urvillei",150.8805,-33.56146
"Paspalum urvillei",121.1213,24.58859
"Paspalum urvillei",150.9702,-33.67572
"Paspalum urvillei",121.3598,24.82764
"Paspalum urvillei",121.2387,24.83246
"Paspalum urvillei",121.3772,24.8115
"Paspalum urvillei",121.1463,25.07442
"Paspalum urvillei",121.2093,25.06716
"Paspalum urvillei",121.2865,24.6201
"Paspalum urvillei",121.2242,24.96906
"Paspalum urvillei",121.3748,24.7324
"Paspalum urvillei",121.1456,24.89173
"Paspalum urvillei",121.3522,24.80011
"Paspalum urvillei",121.2633,25.03462
"Paspalum urvillei",121.1731,24.9392
"Paspalum urvillei",121.3435,24.70439
"Paspalum urvillei",121.31,24.93948
"Paspalum urvillei",121.2635,24.83758
"Paspalum urvillei",121.268,24.66931
"Paspalum urvillei",121.2825,24.88541
"Paspalum urvillei",121.3257,24.95662
"Paspalum urvillei",121.3563,24.74399
"Paspalum urvillei",121.1715,24.90419
